,Username,Date,Time,Text,Sentiment
442,ChuckRobbins,2021-05-05,17:51:27,congratulations to the cisco germany team for being named best workplace in germany by gptwdeutschland thank you for everything you do each day for cisco our customers and each other keep up the amazing work ,11
443,ChuckRobbins,2021-05-03,23:10:23,had an amazing time love georgiatech and proud of our partnership good luck delauryn ,15
444,ChuckRobbins,2021-05-03,17:54:19,this is awesome ,4
445,ChuckRobbins,2021-05-03,14:09:26,congratulations to the entire ciscosecure team i am proud of all that you have accomplished geerittenhouse jpatel ,6
446,ChuckRobbins,2021-05-03,13:50:48,thrilled to welcome the slidoapp team to cisco webex peterkomornik jpatel ,7
447,ChuckRobbins,2021-05-02,01:33:03,im incredibly proud of how our cisco teams have come together to support our employees in india and communities there as the heartbreaking covid crisis continues to unfold we are monitoring the situation and will be doing all we can to help ,0
448,ChuckRobbins,2021-05-01,16:04:50,this asian american pacific islander heritage month cisco continues to stand with the aapi community and to denounce racism in all its forms we also acknowledge the many incredible achievements of this community and celebrate all you do ,-2
449,ChuckRobbins,2021-04-30,17:05:12,proud to partner ,2
450,ChuckRobbins,2021-04-29,17:00:28,proud of you wawiranjiru ,2
451,ChuckRobbins,2021-04-27,15:16:40,great news congratulations to the amazing cisconorway team for being named on norways best workplaces for the first time ever this is an incredible accomplishment and one you should all be proud of thanks for all you do for cisco gptw no,9
452,ChuckRobbins,2021-04-27,01:11:39,i am so saddened by the devastating surge of covid cases in india cisco is working to provide counseling support donating to relief efforts amp partnering with agencies on the ground to respond our prayers are with our many employees amp the people of india during this time ,-2
453,ChuckRobbins,2021-04-24,22:06:23,thanks selenagomez cisco is proud to partner with glblctzn for the concert to reunite the world were committing m to to ensure frontline workers and the most vulnerable have access to vaccines together we can power an inclusive recovery for all ,4
454,ChuckRobbins,2021-04-22,20:17:22,congratulations to the incredible ciscoitalia team for being named the in italy for the th year in a row what an amazing accomplishment thank you for all that you continue to do for cisco and our customers partners and communities in italy ,8
455,ChuckRobbins,2021-04-22,10:57:16,technology and broadband are key to creating a cleaner greener world as congress and potus explore how to strengthen infrastructure and the environment cisco hopes broadband prevails as a way to power a more inclusive amp sustainable future ,6
456,ChuckRobbins,2021-04-22,10:57:15,corporations governments and individuals all have a role to play in combatting climate change the cisco foundation is proud to commit million toward investments in climate technologies ghg projects amp nonprofits ,3
457,ChuckRobbins,2021-04-21,15:07:35,im thrilled that appdynamics is expanding their offering to five new locations in africa asia south america and europe this will help us scale and provide full stack observability solutions to customers and partners in more parts of the world ,8
458,ChuckRobbins,2021-04-20,22:28:12,the horrific murder of george floyd rocked us to our core today we are hopeful and reminded of why we fight for justice for all cisco will continue to live our values show up for our employees customers amp communities and stand for fairness equity amp truth ,-2
459,ChuckRobbins,2021-04-16,16:28:38,congratulations stella ,2
460,ChuckRobbins,2021-04-15,22:26:01,this falls into the category of the truth hurts glad youre pointing out my challenges via webex nonetheless ,1
461,ChuckRobbins,2021-04-15,14:22:07,congratulations to our cisco costa rica team for being named on gptw costaricas best workplaces in costa rica for the rd year in a row thank you to the entire team for all that you do cisco la,7
462,ChuckRobbins,2021-04-13,23:50:39,congratulations kamaiujohnson proud of your work ethic and perseverance keep it up and enjoy the great win ,13
463,ChuckRobbins,2021-04-13,14:06:52, cisco is excited to launch this incredible partnership with the nfl connecting every stadium through the will open up so many opportunities to redefine what is possible in football and the entire sports industry ,5
464,ChuckRobbins,2021-04-13,13:49:49, happy ramadan to everyone celebrating around the world wishing you a safe and peaceful month ahead ,10
466,ChuckRobbins,2021-04-12,12:37:29,once again its a proud day for cisco were honored to be on fortunemagazines best companies to work for in the us this past year our employees showed up in amazing ways for our customers communities amp each other congrats to our entire team and thank you gptw us,15
467,ChuckRobbins,2021-04-06,12:14:10,yes she is ,1
468,ramonlaguarta,2021-05-13,17:31:56,lebron shares an important message in our latest energy campaign we must meet the moment push ourselves to achieve our goals kingjames embodies this idea which we hope resonates with consumers in these uncertain times ,4
469,ramonlaguarta,2021-05-12,18:01:01,there are so many impressive women at pepsico who inspire me every day take a look at the empowering work of female associates highlighted by p santilli mbauerm in their book empowering you empowering her a great read ,8
470,ramonlaguarta,2021-05-11,22:18:17,proud to share the work of pepsicos innovative r amp d team unlocking the full oat genome with corteva making it see how this scientific breakthrough can help us create a more food system through resilient nutrient rich oats ,12
471,ramonlaguarta,2021-05-11,17:26:31,as we continue our efforts to support the communities we serve i am honored to join the global task force with pepsico to form a coalition of corporations providing relief in india with usibc bizroundtable usispforum,5
472,ramonlaguarta,2021-05-10,18:03:38,vaccines are a game changer in our fight against returning to normal life we pepsico are leaning in very intentionally to by encouraging associates who are able to get vaccinated as soon as possible tony capuano how is marriottintl moving the needle ,-1
473,ramonlaguarta,2021-05-10,13:16:13,wishing all who celebrate around the globe a joyful eid al fitr from our pepsico family to family to yours,7
474,ramonlaguarta,2021-05-09,14:43:45,there are so many incredible mothers out there sharing the most important gift with their children love thats why i was so moved by doritos mxs campaign celebrating moms and amplifying the love their families share happy mothers day,17
475,ramonlaguarta,2021-05-07,12:47:46,women play an essential role in which is why we must ensure they have the resources training to sustainably produce for their families and the global our partnership with care aims to positively impact m small scale women producers their families ,5
